N,K,D,rep,condition,start_fitness,final_fitness,improvement,accepted_total,accepted_bad,accepted_bad_fraction,accepted_mean_distance,landscape_seed,steps
16,0,4,7,HM_channel,0.5058983231159799,0.747222776598591,0.2413244534826111,17.0,5.0,0.29411764705882354,1.7647058823529411,675294229,50
16,0,4,7,Strong_delta_HM_channel,0.5058983231159799,0.021100844418017295,,,,,,675294229,50
16,0,4,7,Strong_delta_HM_naive,0.5058983231159799,0.0013157494090125788,,,,,,675294229,50
16,0,8,7,H,0.5058983231159799,0.7484585844821453,0.24256026136616538,16.0,3.0,0.1875,1.3125,675294229,50
16,0,8,7,M,0.5058983231159799,0.6789808253689206,0.17308250225294064,49.0,25.0,0.5102040816326531,5.408163265306122,675294229,50
16,0,8,7,HM_naive,0.5058983231159799,0.7285550562460456,0.22265673313006562,17.0,7.0,0.4117647058823529,1.7647058823529411,675294229,50
16,0,8,7,HM_channel,0.5058983231159799,0.747222776598591,0.2413244534826111,10.0,3.0,0.3,1.6,675294229,50
16,0,8,7,Strong_delta_HM_channel,0.5058983231159799,-0.001235807883554263,,,,,,675294229,50
16,0,8,7,Strong_delta_HM_naive,0.5058983231159799,-0.019903528236099755,,,,,,675294229,50
16,0,1,8,H,0.4827698767826421,0.685709026012182,0.20293914922953987,30.0,10.0,0.3333333333333333,1.1,201965230,50
16,0,1,8,M,0.4827698767826421,0.6370420466575175,0.1542721698748754,49.0,21.0,0.42857142857142855,1.0,201965230,50
16,0,1,8,HM_naive,0.4827698767826421,0.6780714848397519,0.19530160805710978,45.0,18.0,0.4,1.0,201965230,50
16,0,1,8,HM_channel,0.4827698767826421,0.6741673105285495,0.1913974337459074,34.0,12.0,0.35294117647058826,1.0,201965230,50
16,0,1,8,Strong_delta_HM_channel,0.4827698767826421,-0.011541715483632475,,,,,,201965230,50
16,0,1,8,Strong_delta_HM_naive,0.4827698767826421,-0.007637541172430096,,,,,,201965230,50
16,0,2,8,H,0.4827698767826421,0.6596738877683792,0.1769040109857371,16.0,3.0,0.1875,1.0625,201965230,50
16,0,2,8,M,0.4827698767826421,0.6002080350037423,0.11743815822110021,50.0,22.0,0.44,1.68,201965230,50
16,0,2,8,HM_naive,0.4827698767826421,0.685709026012182,0.20293914922953987,35.0,13.0,0.37142857142857144,1.2285714285714286,201965230,50
16,0,2,8,HM_channel,0.4827698767826421,0.685709026012182,0.20293914922953987,28.0,11.0,0.39285714285714285,1.3214285714285714,201965230,50
16,0,2,8,Strong_delta_HM_channel,0.4827698767826421,0.02603513824380277,,,,,,201965230,50
16,0,2,8,Strong_delta_HM_naive,0.4827698767826421,0.02603513824380277,,,,,,201965230,50
16,0,4,8,H,0.4827698767826421,0.6780714848397519,0.19530160805710978,20.0,6.0,0.3,1.15,201965230,50
16,0,4,8,M,0.4827698767826421,0.6246229116630945,0.14185303488045237,49.0,25.0,0.5102040816326531,3.0,201965230,50
16,0,4,8,HM_naive,0.4827698767826421,0.6791840614033978,0.19641418462075572,26.0,10.0,0.38461538461538464,1.3076923076923077,201965230,50
16,0,4,8,HM_channel,0.4827698767826421,0.6696601777930902,0.18689030101044807,19.0,7.0,0.3684210526315789,1.5263157894736843,201965230,50
16,0,4,8,Strong_delta_HM_channel,0.4827698767826421,-0.008411307046661709,,,,,,201965230,50
16,0,4,8,Strong_delta_HM_naive,0.4827698767826421,0.0011125765636459395,,,,,,201965230,50
16,0,8,8,H,0.4827698767826421,0.6825786175752112,0.1998087407925691,33.0,11.0,0.3333333333333333,1.1515151515151516,201965230,50
16,0,8,8,M,0.4827698767826421,0.6050914184280504,0.12232154164540826,50.0,23.0,0.46,6.0,201965230,50
16,0,8,8,HM_naive,0.4827698767826421,0.685709026012182,0.20293914922953987,26.0,10.0,0.38461538461538464,1.5769230769230769,201965230,50
16,0,8,8,HM_channel,0.4827698767826421,0.6715465202309677,0.18877664344832562,16.0,6.0,0.375,2.0,201965230,50
16,0,8,8,Strong_delta_HM_channel,0.4827698767826421,-0.011032097344243486,,,,,,201965230,50
16,0,8,8,Strong_delta_HM_naive,0.4827698767826421,0.0031304084369707663,,,,,,201965230,50
16,0,1,9,H,0.4725424855811849,0.5588425476710438,0.08630006208985891,29.0,12.0,0.41379310344827586,1.103448275862069,1762258263,50
16,0,1,9,M,0.4725424855811849,0.5089908001547436,0.03644831457355874,50.0,23.0,0.46,1.0,1762258263,50
16,0,1,9,HM_naive,0.4725424855811849,0.5456346316144567,0.0730921460332718,48.0,22.0,0.4583333333333333,1.0,1762258263,50
16,0,1,9,HM_channel,0.4725424855811849,0.5514687839686913,0.07892629838750637,40.0,16.0,0.4,1.05,1762258263,50
16,0,1,9,Strong_delta_HM_channel,0.4725424855811849,-0.007373763702352543,,,,,,1762258263,50
16,0,1,9,Strong_delta_HM_naive,0.4725424855811849,-0.01320791605658711,,,,,,1762258263,50
